
===================================
Domain Marker;critical-jOPS;3718.0
Domain Marker;max-jOPS;10047.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
115.0;300.0;400.0;500.0;600.0;800.0;2000.0
231.0;300.0;500.0;700.0;800.0;1000.0;2200.0
346.0;300.0;600.0;900.0;900.0;1100.0;134000.0
462.0;300.0;700.0;1000.0;1100.0;1400.0;115000.0
577.0;300.0;800.0;1200.0;1300.0;1700.0;132000.0
693.0;300.0;900.0;1300.0;1500.0;1800.0;132000.0
808.0;300.0;1000.0;1500.0;1600.0;2200.0;126000.0
924.0;300.0;1100.0;1700.0;1900.0;2600.0;130000.0
1039.0;300.0;1200.0;1800.0;1900.0;2600.0;130000.0
1155.0;300.0;1300.0;1900.0;2100.0;3900.0;137000.0
1270.0;300.0;1400.0;2100.0;2300.0;3622.9999999995925;130000.0
1386.0;300.0;1500.0;2200.0;2400.0;5114.999999999418;132000.0
1501.0;300.0;1600.0;2400.0;2600.0;6500.0;146000.0
1617.0;300.0;1700.0;2500.0;2800.0;6600.0;131000.0
1732.0;300.0;1800.0;2600.0;3000.0;7900.0;139000.0
1848.0;300.0;1800.0;2800.0;3200.0;10200.0;154000.0
1963.0;300.0;1900.0;3000.0;3400.0;9600.0;137000.0
2079.0;300.0;2000.0;3100.0;3600.0;13100.0;164000.0
2194.0;300.0;2100.0;3200.0;3700.0;14000.0;155000.0
2310.0;300.0;2100.0;3400.0;4100.0;10300.0;141000.0
2425.0;300.0;2200.0;3400.0;4100.0;16600.0;179000.0
2541.0;300.0;2300.0;3800.0;4600.0;18100.0;151000.0
2656.0;300.0;2400.0;3900.0;4900.0;17200.0;149000.0
2772.0;300.0;2500.0;4300.0;5500.0;21000.0;162000.0
2887.0;300.0;2600.0;4200.0;5300.0;25000.0;155000.0
3002.0;300.0;2800.0;4800.0;6400.0;27000.0;169000.0
3118.0;300.0;2800.0;4800.0;6600.0;25000.0;170000.0
3233.0;300.0;2900.0;5100.0;7100.0;29000.0;185000.0
3349.0;300.0;3000.0;5400.0;7900.0;35000.0;145000.0
3464.0;300.0;3100.0;5800.0;9800.0;52000.0;181000.0
3580.0;300.0;3100.0;5600.0;8000.0;26000.0;188000.0
3695.0;300.0;3300.0;6100.0;9100.0;34000.0;218000.0
3811.0;300.0;3500.0;6900.0;12400.0;56000.0;197000.0
3926.0;300.0;3500.0;7200.0;14600.0;49000.0;226000.0
4042.0;300.0;3600.0;7100.0;13100.0;48000.0;196000.0
4157.0;300.0;3700.0;8000.0;15900.0;53000.0;201000.0
4273.0;300.0;3800.0;8000.0;17079.999999998836;48000.0;201000.0
4388.0;300.0;4000.0;9300.0;23000.0;64000.0;267000.0
4504.0;300.0;4000.0;9300.0;23000.0;72000.0;176000.0
4619.0;300.0;4100.0;9800.0;22000.0;60000.0;210000.0
4735.0;300.0;4200.0;10200.0;24000.0;64000.0;211000.0
4850.0;300.0;4400.0;10600.0;21000.0;57000.0;186000.0
4966.0;300.0;4300.0;11900.0;29000.0;70000.0;237000.0
5081.0;300.0;4500.0;12800.0;29000.0;66000.0;188000.0
5197.0;300.0;4700.0;16800.0;36000.0;85000.0;210000.0
5312.0;200.0;4800.0;16900.0;39000.0;94000.0;237000.0
5428.0;300.0;4900.0;16500.0;33000.0;79000.0;364000.0
5543.0;300.0;5100.0;16300.0;37000.0;88000.0;237000.0
5659.0;300.0;5200.0;17000.0;32000.0;79000.0;216000.0
