Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;3715.0
Domain Marker;max-jOPS;10162.0
Domain Marker;Last Success for SLAs;5889.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
115;91.86185274752312
231;93.57044866118973
346;94.20520950586173
462;94.79622788733602
577;95.17760624727833
693;95.69116028878398
808;95.50280984451696
924;96.22225717318327
1039;95.7586741474718
1155;95.99591864862055
1270;96.72899585127865
1386;96.68730303897057
1501;96.3417366648659
1617;97.12995436687999
1732;97.36267704109895
1848;96.93969981782385
1963;97.08976660947998
2079;97.10122318277512
2194;97.08555128143169
2310;97.0424483535476
2425;97.15558830718795
2541;97.51055408109028
2656;97.25206624288644
2772;97.21684294392242
2887;97.55660461327332
3002;97.44124334265014
3118;97.37279251271626
3233;97.88933342635072
3349;97.77405621736146
3464;97.56684018280876
3580;97.46885109403217
3695;97.57454227978856
3811;97.49952216061699
3926;97.76131946439497
4042;97.68786204805048
4157;97.70188649971738
4273;97.72538658219368
4388;97.46348663339022
4504;97.88374185188572
4619;98.04817133260572
4735;97.48586137006862
4850;97.848764304883
4966;97.62378680293614
5081;98.23808934842582
5197;97.98948520163904
5312;97.56642176965879
5428;97.57269564873407
5543;97.62823163329757
5659;98.42632921744843
5774;97.59829543309341
5889;97.5215244567398
6005;97.16399057754298
6120;97.33154402282481
6236;97.86710152009209
6351;97.36668950945531
6467;96.7290754543481
6582;95.18827606627285
6698;92.86521112658936
6813;91.25306835164955
6929;89.78392013126954
7044;88.3134587290734
7160;86.45059673121729
7275;85.00522533973367
7391;84.27133939815117
7506;81.66021361068884
7622;80.12129404528278
7737;77.8772404859068
7853;78.12441762759435
7968;76.11153821255544
8084;74.55267145092631
8199;73.37699863374107
8315;71.94066653354618
8430;70.2287774727228
8546;67.58260628129773
8661;67.0599025579791
8776;64.41716533931364
8892;65.40092396101525
9007;61.80487575029218
9123;60.34910959006228
9238;59.702455420879645
9354;57.66831235886988
9469;54.30642343728577
9585;51.50176873575379
9700;51.182586929894555
9816;46.2103284793955
9931;32.26271623937045
10047;28.014542729071064
10162;13.582001605605932
10278;2.9763503229613595
10393;3.955938229817386
10509;10.302301551586975
10624;5.765443236878456
