
===================================
Domain Marker;critical-jOPS;3982.0
Domain Marker;max-jOPS;10793.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
138.0;300.0;400.0;500.0;600.0;800.0;1100.0
277.0;300.0;500.0;800.0;900.0;1000.0;121000.0
415.0;300.0;600.0;900.0;1000.0;1200.0;133000.0
553.0;300.0;800.0;1100.0;1200.0;1500.0;131000.0
692.0;300.0;900.0;1300.0;1400.0;1700.0;11900.0
830.0;300.0;1000.0;1400.0;1600.0;2000.0;135000.0
969.0;300.0;1100.0;1600.0;1800.0;2600.0;135000.0
1107.0;300.0;1200.0;1800.0;1900.0;2800.0;137000.0
1245.0;300.0;1300.0;1900.0;2100.0;3200.0;134000.0
1384.0;300.0;1400.0;2100.0;2300.0;3316.9999999998254;132000.0
1522.0;300.0;1500.0;2200.0;2500.0;3900.0;135000.0
1660.0;300.0;1600.0;2400.0;2700.0;4100.0;135000.0
1799.0;300.0;1700.0;2600.0;2900.0;6400.0;143000.0
1937.0;300.0;1800.0;2700.0;3000.0;6000.0;140000.0
2076.0;300.0;1900.0;2900.0;3300.0;11100.0;173000.0
2214.0;300.0;2000.0;3100.0;3400.0;9100.0;136000.0
2352.0;300.0;2100.0;3200.0;3700.0;11460.000000000582;153000.0
2491.0;300.0;2200.0;3400.0;4000.0;16500.0;160000.0
2629.0;300.0;2300.0;3600.0;4100.0;15300.0;138000.0
2767.0;300.0;2300.0;3600.0;4200.0;14900.0;149000.0
2906.0;300.0;2500.0;4000.0;4900.0;22000.0;185000.0
3044.0;300.0;2600.0;4200.0;5000.0;22000.0;175000.0
3183.0;300.0;2700.0;4500.0;5700.0;37000.0;161000.0
3321.0;300.0;2800.0;4700.0;6000.0;35000.0;220000.0
3459.0;300.0;2900.0;4800.0;6200.0;28000.0;189000.0
3598.0;300.0;3000.0;5000.0;6500.0;36000.0;164000.0
3736.0;300.0;3100.0;5400.0;7800.0;58000.0;207000.0
3874.0;300.0;3200.0;5400.0;7700.0;36000.0;178000.0
4013.0;300.0;3300.0;5800.0;8200.0;43000.0;157000.0
4151.0;300.0;3400.0;6000.0;9000.0;42000.0;204000.0
4289.0;300.0;3500.0;6500.0;10200.0;46000.0;220000.0
4428.0;300.0;3600.0;7000.0;14304.999999998836;72000.0;256000.0
4566.0;300.0;3700.0;6900.0;11800.0;47000.0;253000.0
4705.0;300.0;3800.0;7600.0;13100.0;48000.0;213000.0
4843.0;300.0;3800.0;7500.0;13500.0;52000.0;205000.0
4981.0;300.0;4000.0;8200.0;17300.0;67000.0;219000.0
5120.0;300.0;4100.0;9700.0;28000.0;82000.0;285000.0
5258.0;300.0;4300.0;9500.0;26000.0;84000.0;287000.0
5396.0;300.0;4300.0;10300.0;24000.0;71000.0;223000.0
5535.0;300.0;4400.0;9800.0;21000.0;67000.0;220000.0
5673.0;300.0;4600.0;12700.0;34000.0;75000.0;195000.0
5812.0;300.0;4700.0;13400.0;32000.0;73000.0;232000.0
5950.0;300.0;4900.0;15800.0;41000.0;99000.0;269000.0
6088.0;300.0;5100.0;18300.0;44000.0;103000.0;286000.0
6227.0;300.0;5300.0;31000.0;66000.0;126000.0;501000.0
6365.0;300.0;5500.0;22000.0;47000.0;110000.0;256000.0
6503.0;300.0;5600.0;25000.0;57000.0;122000.0;289000.0
6642.0;300.0;5700.0;33000.0;57000.0;124000.0;255000.0
6780.0;300.0;5900.0;35000.0;67000.0;119000.0;227000.0
6918.0;300.0;5900.0;38000.0;69000.0;128000.0;376000.0
7057.0;300.0;6300.0;59000.0;92000.0;143000.0;306000.0
7195.0;300.0;6200.0;65000.0;100000.0;150000.0;430000.0
7334.0;200.0;6300.0;53000.0;79000.0;130000.0;314000.0
7472.0;300.0;6600.0;76000.0;119000.0;189000.0;417000.0
7610.0;200.0;6500.0;66000.0;110000.0;187000.0;422000.0
7749.0;300.0;6700.0;77000.0;124000.0;201000.0;514000.0
7887.0;300.0;7300.0;96000.0;140000.0;218000.0;357000.0
8025.0;200.0;7500.0;135000.0;184000.0;255000.0;522000.0
8164.0;300.0;7400.0;96000.0;138000.0;258000.0;530000.0
8302.0;300.0;8500.0;120000.0;162000.0;237000.0;527000.0
8441.0;300.0;8100.0;132000.0;171000.0;244000.0;506000.0
8579.0;300.0;9200.0;158000.0;206000.0;275000.0;680000.0
8717.0;300.0;11500.0;176000.0;229000.0;301000.0;585000.0
