Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;4079.0
Domain Marker;max-jOPS;10931.0
Domain Marker;Last Success for SLAs;6227.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
138;91.21739646077926
277;93.54077012367814
415;94.88192156368748
553;95.20294313412275
692;95.34773887377649
830;95.69362150230018
969;96.36130135457505
1107;96.15044076053138
1245;96.76183390948282
1384;96.32934894120454
1522;96.66376205880654
1660;96.88170336641225
1799;97.10413613542694
1937;97.3437582493457
2076;97.71788543837087
2214;97.19176715144512
2352;97.12227312790996
2491;97.30468567485869
2629;97.56677733231759
2767;96.9766535301737
2906;97.79489742164247
3044;97.41169455062536
3183;97.35525601988721
3321;97.41833476096073
3459;97.81985701756834
3598;97.89655783346174
3736;98.14454911338646
3874;97.8433361621629
4013;97.86964928930773
4151;97.59598237062352
4289;97.64611922687804
4428;97.90797143773031
4566;97.81833645485894
4705;98.19962261957394
4843;97.92369829309646
4981;97.71599138636407
5120;98.2290001503776
5258;97.62694389271358
5396;97.69062747395759
5535;98.00705055169838
5673;97.97657347622919
5812;98.17385777019707
5950;98.10058330638988
6088;97.38733819770853
6227;96.51474255706911
6365;97.9056321089586
6503;97.08022079873733
6642;93.4756277634005
6780;92.78669975621847
6918;90.11996278661849
7057;88.87999010433533
7195;87.15305300676131
7334;86.02223741694878
7472;83.93315748509264
7610;80.98228703036266
7749;80.25879152438638
7887;78.39377187895924
8025;76.26594607482575
8164;75.30250303915028
8302;73.69781931229775
8441;71.82137996265895
8579;70.77967040531723
8717;69.54634270309359
8856;66.75105287135014
8994;65.5862127520646
9132;64.67941053172972
9271;63.370572169069106
9409;60.292872918256855
9548;58.88647060976759
9686;57.79527262885746
9824;55.859248558019566
9963;53.26725815669377
10101;52.11044104998148
10239;45.88368199418817
10378;48.74539643548401
10516;46.115442827198656
10654;26.005038202644247
10793;20.140444138217866
10931;10.665101666043471
11070;3.2942343739154163
11208;3.9827150090730883
11346;2.2291625648947173
11485;1.326720769736766
