run,gc-count,usage-pre,usage-post,pause,real,user,sys
0,5270,3331.4,2142.8,371.234,371.84,2159.77,2.14
1,4979,3326.7,2129.1,351.378,351.63,2050.3,2.17
2,5275,3342.2,2142.1,381.699,381.75,2221.48,2.15
3,4979,3328.7,2131.5,342.718,343.35,2000.41,1.97
4,5048,3321.1,2120.6,358.105,358.18,2086.21,2.25
5,4833,3320.7,2126.4,339.064,339.95,1976.12,2.19
6,5141,3333.6,2138.2,364.353,364.66,2124.19,1.94
7,5446,3341.3,2147.8,387.184,387.88,2256.5,2.28
8,5611,3328.3,2138.5,396.027,395.63,2298.58,2.51
9,4970,3325.1,2139.3,352.369,352.59,2049.85,2.17
