
===================================
Domain Marker;critical-jOPS;3727.0
Domain Marker;max-jOPS;10162.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
115.0;300.0;400.0;500.0;600.0;700.0;1100.0
231.0;300.0;500.0;600.0;700.0;900.0;104000.0
346.0;300.0;500.0;800.0;900.0;1100.0;3400.0
462.0;300.0;600.0;1000.0;1100.0;1300.0;106000.0
577.0;300.0;800.0;1100.0;1300.0;1600.0;125000.0
693.0;300.0;900.0;1300.0;1400.0;1900.0;129000.0
808.0;300.0;1000.0;1400.0;1600.0;2100.0;127000.0
924.0;300.0;1100.0;1600.0;1800.0;2400.0;126000.0
1039.0;300.0;1200.0;1700.0;1900.0;2600.0;129000.0
1155.0;300.0;1300.0;1900.0;2100.0;3100.0;128000.0
1270.0;300.0;1400.0;2000.0;2300.0;3700.0;134000.0
1386.0;300.0;1400.0;2100.0;2300.0;3600.0;132000.0
1501.0;300.0;1500.0;2300.0;2600.0;6300.0;133000.0
1617.0;300.0;1600.0;2400.0;2700.0;7172.000000000116;146000.0
1732.0;300.0;1700.0;2500.0;2800.0;9400.0;138000.0
1848.0;300.0;1800.0;2700.0;3100.0;7200.0;182000.0
1963.0;300.0;1800.0;2800.0;3200.0;8600.0;133000.0
2079.0;300.0;1900.0;3000.0;3500.0;14500.0;154000.0
2194.0;300.0;2000.0;3100.0;3600.0;14000.0;132000.0
2310.0;300.0;2100.0;3500.0;4300.0;18200.0;205000.0
2425.0;300.0;2200.0;3500.0;4200.0;16100.0;138000.0
2541.0;300.0;2300.0;3700.0;4600.0;17200.0;139000.0
2656.0;300.0;2400.0;3800.0;4700.0;18400.0;153000.0
2772.0;300.0;2500.0;4000.0;5000.0;23000.0;167000.0
2887.0;300.0;2500.0;4100.0;5100.0;19700.0;181000.0
3002.0;300.0;2600.0;4400.0;5700.0;25000.0;157000.0
3118.0;300.0;2800.0;4800.0;6700.0;30000.0;214000.0
3233.0;300.0;2900.0;4900.0;6900.0;27000.0;165000.0
3349.0;300.0;2900.0;5200.0;7500.0;32000.0;182000.0
3464.0;300.0;3000.0;5300.0;7600.0;28000.0;185000.0
3580.0;300.0;3100.0;5700.0;9400.0;42000.0;197000.0
3695.0;300.0;3300.0;6300.0;10200.0;50000.0;207000.0
