Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;3704.0
Domain Marker;max-jOPS;10162.0
Domain Marker;Last Success for SLAs;5889.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
115;90.95070225158392
231;93.56435997293853
346;93.45211752632846
462;94.03723277139729
577;95.75807098487205
693;95.99897265852728
808;95.29195770606472
924;96.33710908643586
1039;95.96665025793251
1155;96.15658684852134
1270;96.95035687861487
1386;96.31176498603077
1501;96.779594473137
1617;96.78583676953801
1732;96.89716093020944
1848;97.31725318126912
1963;97.22040876281582
2079;96.70221828127337
2194;96.88820682246065
2310;97.01901417202242
2425;97.37367990743299
2541;97.34295604203868
2656;97.47175463121735
2772;97.44320234170596
2887;97.3229890727559
3002;97.65231904813359
3118;97.57717138597803
3233;97.86770396650437
3349;97.93159897937181
3464;97.37642769811454
3580;97.83356469123784
3695;97.38115666575449
3811;98.22606205725897
3926;98.21631549030529
4042;97.77781771154164
4157;97.90538367985926
4273;97.9189948937036
4388;97.53296291209077
4504;97.79349484677844
4619;97.39896796999606
4735;97.98556217183835
4850;97.44090970682244
4966;98.21130868602305
5081;97.87408126344488
5197;98.17327657228455
5312;97.75050344303436
5428;97.98308137233496
5543;97.63329249093405
5659;97.86510234077595
5774;97.58559113421126
5889;97.96449665251566
6005;97.67766340809834
6120;97.30818661610665
6236;97.58572753988116
6351;97.5566020268576
6467;97.1076311447751
6582;95.08088398679907
6698;93.64002900046913
6813;91.46768653495832
6929;89.32518605563901
7044;87.59123188985053
7160;87.24304172003436
7275;85.16037359218684
7391;84.14117263735692
7506;81.94786464102535
7622;80.87359308446554
7737;79.78563651021554
7853;78.3058822594902
7968;76.89872427651703
8084;74.56487127976887
8199;72.80669211205289
8315;71.86210231014799
8430;69.71863926886036
8546;68.84450723629283
8661;66.9649627000368
8776;66.2417925480198
8892;63.0552097952456
9007;63.61208342539267
9123;58.15178074907467
9238;57.58238523866229
9354;57.90700593683856
9469;57.90921245840769
9585;55.01453064195098
9700;55.04830320044974
9816;43.95994430286915
9931;48.293938975554575
10047;25.822591149416557
10162;20.86013773976268
10278;3.643704966135073
10393;9.408855366606593
10509;6.882487262274604
10624;3.7242029808111496
