
===================================
Domain Marker;critical-jOPS;4021.0
Domain Marker;max-jOPS;10793.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
138.0;300.0;400.0;500.0;600.0;800.0;1400.0
277.0;300.0;500.0;700.0;800.0;1000.0;121000.0
415.0;300.0;600.0;900.0;1000.0;1300.0;135000.0
553.0;300.0;700.0;1100.0;1200.0;1500.0;124000.0
692.0;300.0;800.0;1200.0;1400.0;1700.0;135000.0
830.0;300.0;1000.0;1400.0;1500.0;2000.0;137000.0
969.0;300.0;1100.0;1500.0;1700.0;2200.0;132000.0
1107.0;300.0;1200.0;1700.0;1900.0;2700.0;146000.0
1245.0;300.0;1300.0;1900.0;2100.0;3000.0;135000.0
1384.0;300.0;1400.0;2000.0;2300.0;3500.0;138000.0
1522.0;300.0;1500.0;2200.0;2400.0;5400.0;141000.0
1660.0;300.0;1600.0;2400.0;2700.0;4700.0;144000.0
1799.0;300.0;1700.0;2500.0;2800.0;6200.0;139000.0
1937.0;300.0;1700.0;2600.0;3000.0;7800.0;161000.0
2076.0;300.0;1800.0;2800.0;3200.0;8700.0;140000.0
2214.0;300.0;1900.0;2900.0;3300.0;11692.00000000128;139000.0
2352.0;300.0;2000.0;3200.0;3800.0;16100.0;178000.0
2491.0;300.0;2100.0;3300.0;3700.0;11600.0;168000.0
2629.0;300.0;2200.0;3500.0;4200.0;16100.0;142000.0
2767.0;300.0;2300.0;3600.0;4300.0;17500.0;146000.0
2906.0;300.0;2400.0;3900.0;4600.0;19600.0;176000.0
3044.0;300.0;2500.0;4100.0;5000.0;18700.0;156000.0
3183.0;300.0;2600.0;4200.0;5200.0;26000.0;183000.0
3321.0;300.0;2700.0;4600.0;5900.0;24000.0;216000.0
3459.0;300.0;2800.0;4500.0;5500.0;28000.0;180000.0
3598.0;300.0;2900.0;5000.0;6700.0;37000.0;168000.0
3736.0;300.0;3100.0;5400.0;7400.0;39000.0;164000.0
3874.0;300.0;3100.0;5300.0;7200.0;29000.0;204000.0
4013.0;300.0;3200.0;5800.0;8795.000000001164;39000.0;259000.0
4151.0;300.0;3300.0;5800.0;8900.0;51000.0;206000.0
4289.0;300.0;3400.0;6200.0;9500.0;40000.0;145000.0
4428.0;300.0;3600.0;6700.0;12000.0;62000.0;200000.0
4566.0;300.0;3600.0;7000.0;11700.0;52000.0;313000.0
4705.0;300.0;3600.0;6800.0;13500.0;46000.0;187000.0
4843.0;200.0;3700.0;7700.0;18400.0;58000.0;175000.0
4981.0;300.0;3700.0;7200.0;11700.0;50000.0;193000.0
5120.0;300.0;4100.0;9200.0;22000.0;70570.00000000698;217000.0
5258.0;300.0;4100.0;8500.0;21000.0;67000.0;199000.0
5396.0;300.0;4200.0;9400.0;21000.0;57000.0;202000.0
5535.0;300.0;4400.0;11000.0;28000.0;80000.0;230000.0
5673.0;300.0;4500.0;11200.0;29000.0;80000.0;305000.0
5812.0;300.0;4600.0;14300.0;36000.0;119000.0;279000.0
5950.0;300.0;4800.0;15900.0;39000.0;89000.0;249000.0
6088.0;200.0;5000.0;18000.0;43000.0;94000.0;227000.0
6227.0;300.0;5100.0;18000.0;43000.0;100000.0;249000.0
6365.0;300.0;5300.0;23000.0;51000.0;121000.0;306000.0
6503.0;300.0;5300.0;29000.0;67000.0;154000.0;327000.0
6642.0;300.0;5400.0;36000.0;65000.0;119000.0;284000.0
6780.0;300.0;5700.0;32000.0;55000.0;105000.0;280000.0
6918.0;300.0;5800.0;48000.0;76000.0;147000.0;297000.0
7057.0;300.0;5900.0;55000.0;91000.0;148000.0;441000.0
7195.0;300.0;6000.0;53000.0;84000.0;139000.0;278000.0
7334.0;300.0;6100.0;57000.0;88000.0;168000.0;367000.0
7472.0;300.0;6200.0;72000.0;114000.0;164000.0;408000.0
7610.0;300.0;6400.0;82000.0;121000.0;195000.0;371000.0
7749.0;300.0;7000.0;89000.0;122000.0;175000.0;481000.0
7887.0;300.0;6700.0;89000.0;122000.0;174000.0;309000.0
8025.0;300.0;6800.0;109000.0;155000.0;212000.0;576000.0
8164.0;300.0;7300.0;101000.0;140000.0;190000.0;477000.0
8302.0;200.0;7500.0;143000.0;179000.0;251000.0;620000.0
8441.0;300.0;7900.0;131000.0;178000.0;260000.0;592000.0
8579.0;300.0;9000.0;159000.0;218000.0;309000.0;598000.0
8717.0;300.0;9000.0;173000.0;226000.0;321000.0;920000.0
8856.0;200.0;12100.0;182000.0;221000.0;324000.0;569000.0
8994.0;300.0;12000.0;206000.0;240000.0;314000.0;720000.0
9132.0;300.0;16500.0;188000.0;229000.0;348000.0;820000.0
9271.0;300.0;25000.0;232000.0;299000.0;384000.0;562000.0
9409.0;300.0;32000.0;236000.0;278000.0;363000.0;660000.0
9548.0;300.0;38000.0;263000.0;316000.0;430000.0;780000.0
9686.0;200.0;67000.0;283000.0;329000.0;404000.0;770000.0
9824.0;300.0;79000.0;337000.0;405000.0;501000.0;990000.0
9963.0;300.0;110000.0;333000.0;381000.0;475000.0;770000.0
10101.0;300.0;99000.0;328000.0;386000.0;510000.0;990000.0
10239.0;200.0;143000.0;402000.0;462000.0;560000.0;800000.0
10378.0;300.0;193000.0;445000.0;513000.0;630000.0;1100000.0
10516.0;300.0;192000.0;444000.0;514000.0;620000.0;1100000.0
10654.0;300.0;272000.0;528000.0;610000.0;720000.0;1400000.0
10793.0;300.0;420000.0;850000.0;960000.0;1200000.0;1700000.0
10931.0;300.0;1300000.0;2500000.0;3000000.0;4000000.0;5000000.0
11070.0;15500.0;1500000.0;2800000.0;3200000.0;4100000.0;6100000.0
11208.0;500.0;1200000.0;2500000.0;2700000.0;3100000.0;4000000.0
11346.0;1200.0;1600000.0;2800000.0;3000000.0;4700000.0;5500000.0
