Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;3999.0
Domain Marker;max-jOPS;10654.0
Domain Marker;Last Success for SLAs;6227.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
138;91.43555877264068
277;93.43876503166898
415;94.86068377714233
553;95.84263133751088
692;96.11938793347008
830;95.65995100923658
969;95.76448460493454
1107;96.31515291172397
1245;96.71958236310017
1384;96.54510200583857
1522;96.27253117438238
1660;96.63019640249628
1799;97.07011616155853
1937;97.06290602957262
2076;97.09711779740275
2214;97.69379538272288
2352;97.24121322295485
2491;97.27907988479205
2629;97.5677332006575
2767;97.47021092798194
2906;97.20325738659525
3044;98.17496362154975
3183;97.24352559174532
3321;98.00473017486871
3459;97.53115731981369
3598;97.41996360791065
3736;97.35895691116262
3874;98.25922766072917
4013;97.87520081620906
4151;97.99901128988745
4289;98.03979126451243
4428;97.83930731829925
4566;97.89127065245123
4705;96.6967769130398
4843;98.14783698923746
4981;97.86677975197205
5120;97.93737464338726
5258;98.01544468203423
5396;97.88680968245747
5535;98.21168213864071
5673;98.09730583228529
5812;98.09994269011986
5950;97.5948001532101
6088;98.00587461714235
6227;96.55219528307639
6365;97.75838329081216
6503;96.83265601725076
6642;94.27580040148862
6780;92.20364123251657
6918;90.51249171124702
7057;88.36207206566924
7195;87.71039864666169
7334;85.40812795167938
7472;83.25697829612753
7610;81.76677064993005
7749;80.60411741879048
7887;77.79503507603326
8025;76.06242868457025
8164;74.144537023358
8302;73.19392347043653
8441;71.28830699545175
8579;70.55220438615785
8717;69.05937368904887
8856;67.18619369737596
8994;65.29595342776831
9132;62.81497632013197
9271;62.86897156507367
9409;58.41592332944292
9548;59.00555095673978
9686;56.542967179224924
9824;54.31771628723541
9963;51.43416312427864
10101;50.31302830212207
10239;46.182804619268154
10378;33.95841449350271
10516;10.84358735143278
10654;4.2258227708493985
10793;3.170814689541076
10931;1.9835406110091074
11070;2.3757305257023646
11208;5.818069283527104
