
===================================
Domain Marker;critical-jOPS;3697.0
Domain Marker;max-jOPS;11663.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
115.0;300.0;400.0;500.0;500.0;700.0;1600.0
231.0;300.0;500.0;700.0;800.0;900.0;67000.0
346.0;300.0;500.0;800.0;900.0;1100.0;98000.0
462.0;300.0;700.0;1000.0;1100.0;1300.0;9300.0
577.0;300.0;800.0;1200.0;1300.0;1700.0;119000.0
693.0;300.0;900.0;1300.0;1400.0;1800.0;103000.0
808.0;300.0;1000.0;1400.0;1600.0;2200.0;125000.0
924.0;300.0;1100.0;1600.0;1800.0;2600.0;122000.0
1039.0;300.0;1200.0;1700.0;1900.0;3300.0;126000.0
1155.0;300.0;1300.0;1900.0;2100.0;15127.999999999884;114000.0
1270.0;300.0;1300.0;2000.0;2200.0;3000.0;124000.0
1386.0;300.0;1400.0;2100.0;2300.0;3600.0;124000.0
1501.0;300.0;1500.0;2300.0;2600.0;5300.0;122000.0
1617.0;300.0;1600.0;2400.0;2700.0;5600.0;129000.0
1732.0;300.0;1700.0;2600.0;3000.0;63000.0;134000.0
1848.0;300.0;1800.0;2800.0;3100.0;8400.0;131000.0
1963.0;300.0;1800.0;2800.0;3200.0;7400.0;127000.0
2079.0;300.0;1900.0;2900.0;3400.0;10300.0;141000.0
2194.0;300.0;2000.0;3200.0;4000.0;13100.0;141000.0
2310.0;300.0;2100.0;3300.0;3800.0;9800.0;135000.0
2425.0;300.0;2100.0;3400.0;4100.0;17200.0;174000.0
2541.0;300.0;2200.0;3500.0;4200.0;16400.0;185000.0
2656.0;300.0;2300.0;3700.0;4800.0;23000.0;137000.0
2772.0;300.0;2400.0;4000.0;5600.0;55000.0;184000.0
2887.0;300.0;2500.0;4100.0;5500.0;23000.0;136000.0
3002.0;300.0;2600.0;4200.0;5400.0;19100.0;149000.0
3118.0;300.0;2700.0;4500.0;5800.0;18600.0;162000.0
3233.0;300.0;2800.0;4800.0;7300.0;80000.0;208000.0
3349.0;300.0;2800.0;4900.0;6600.0;27000.0;171000.0
3464.0;300.0;2800.0;4800.0;6800.0;28000.0;175000.0
3580.0;300.0;2900.0;5000.0;6900.0;31000.0;274000.0
3695.0;300.0;3000.0;5300.0;8000.0;27000.0;228000.0
3811.0;300.0;3200.0;6200.0;11500.0;65000.0;173000.0
3926.0;300.0;3200.0;5900.0;9100.0;56000.0;260000.0
4042.0;300.0;3300.0;6200.0;9800.0;38000.0;194000.0
4157.0;300.0;3400.0;6600.0;11300.0;41000.0;200000.0
4273.0;300.0;3500.0;7100.0;17000.0;113000.0;800000.0
4388.0;300.0;3500.0;6400.0;10700.0;41000.0;277000.0
4504.0;300.0;3600.0;6500.0;11200.0;52000.0;173000.0
4619.0;300.0;3700.0;7100.0;14200.0;48000.0;180000.0
4735.0;300.0;3700.0;7300.0;15000.0;47000.0;235000.0
4850.0;300.0;3900.0;7800.0;21000.0;81000.0;233000.0
