Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;3784.0
Domain Marker;max-jOPS;11086.0
Domain Marker;Last Success for SLAs;6467.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
115;90.25409683598177
231;93.57000979264647
346;93.74380532165813
462;94.39009373211293
577;96.25907500922587
693;95.23503972409013
808;96.15816980241192
924;96.3391440699505
1039;95.92073556976278
1155;96.09774435993984
1270;96.64081129113744
1386;96.60664104778273
1501;96.45107900777217
1617;96.77979741474086
1732;97.49341319818292
1848;96.92909009596337
1963;96.98053883233301
2079;96.62894381537618
2194;97.49679451853896
2310;97.28216393018607
2425;97.34840460948516
2541;97.27632577021608
2656;96.30277995903148
2772;97.48984501146793
2887;97.56829621947892
3002;97.66471053181442
3118;96.83885431645095
3233;97.75979092698722
3349;97.70112931596545
3464;98.03125866488901
3580;97.86619105496834
3695;97.0908357111917
3811;97.6269965131277
3926;97.75931549579987
4042;97.80953896002522
4157;97.25898977979793
4273;97.77902656292585
4388;97.72877569065236
4504;98.00215834411277
4619;97.71525494787915
4735;97.22642243664197
4850;97.64967088511368
4966;98.12670216748755
5081;98.23517988563144
5197;97.94312718145694
5312;97.70592636908076
5428;98.07659133216694
5543;98.40897234591911
5659;98.29403013373394
5774;97.26201325301491
5889;97.80556481573313
6005;97.90719899439166
6120;98.23104756236928
6236;97.88136292705408
6351;96.97235568091982
6467;97.5929976750257
6582;95.90745308472471
6698;93.8581390688209
6813;90.72661538189311
6929;90.83098534071488
7044;88.85302401611384
7160;88.16942600777
7275;85.50508182677054
7391;84.8906759289538
7506;83.73994459645034
7622;82.14880361452153
7737;80.66915209599846
7853;78.53967694723254
7968;76.45034959589468
8084;75.35244099496913
8199;74.97951263718714
8315;73.1353028999904
8430;71.55159484401482
8546;71.95104090561347
8661;70.7445126352649
8776;68.8299645997924
8892;67.89524117243232
9007;68.02152269934324
9123;64.41570756976488
9238;63.79675806399753
9354;63.81953445806971
9469;62.47595384574311
9585;54.82477275181816
9700;59.23916528630004
9816;59.43781366326906
9931;58.61483682592314
10047;46.33951788380673
10162;56.968940229104945
10278;55.4226223373751
10393;52.63232168481992
10509;32.422319029246
10624;48.70854826120394
10740;49.12067502594364
10855;44.207251650631335
10971;39.893543768970694
11086;5.141611331319189
11202;3.1294457407516534
11317;3.1818760799289056
11433;2.893284714214259
11548;0.39481308388453495
