
===================================
Domain Marker;critical-jOPS;4097.0
Domain Marker;max-jOPS;11485.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
138.0;300.0;400.0;600.0;700.0;800.0;37000.0
277.0;300.0;500.0;800.0;900.0;1100.0;75000.0
415.0;300.0;600.0;1000.0;1100.0;1400.0;81000.0
553.0;300.0;800.0;1100.0;1300.0;1700.0;100000.0
692.0;300.0;900.0;1400.0;1500.0;9600.0;90000.0
830.0;300.0;1000.0;1500.0;1700.0;2500.0;88000.0
969.0;300.0;1100.0;1700.0;1900.0;2800.0;94000.0
1107.0;300.0;1200.0;1900.0;2100.0;3900.0;95000.0
1245.0;300.0;1300.0;2000.0;2300.0;8700.0;96000.0
1384.0;300.0;1500.0;2200.0;2500.0;4700.0;95000.0
1522.0;300.0;1500.0;2300.0;2600.0;4500.0;98000.0
1660.0;300.0;1600.0;2500.0;2900.0;5000.0;90000.0
1799.0;300.0;1700.0;2700.0;3200.0;6800.0;96000.0
1937.0;300.0;1800.0;2900.0;3600.0;9900.0;99000.0
2076.0;300.0;1900.0;3100.0;3800.0;9300.0;97000.0
2214.0;300.0;2000.0;3300.0;4100.0;10000.0;100000.0
2352.0;200.0;2100.0;3500.0;4300.0;11100.0;92000.0
2491.0;300.0;2300.0;3800.0;4800.0;12800.0;98000.0
2629.0;300.0;2400.0;4100.0;5500.0;41000.0;128000.0
2767.0;300.0;2500.0;4200.0;5500.0;14000.0;168000.0
2906.0;300.0;2600.0;4500.0;6100.0;15400.0;121000.0
3044.0;300.0;2600.0;4300.0;5700.0;15600.0;140000.0
3183.0;300.0;2700.0;4700.0;6200.0;17200.0;132000.0
3321.0;300.0;2800.0;4700.0;5900.0;18700.0;187000.0
3459.0;300.0;2900.0;5000.0;6700.0;29000.0;136000.0
3598.0;300.0;3100.0;5300.0;7600.0;36000.0;215000.0
3736.0;300.0;3100.0;5400.0;7400.0;23000.0;140000.0
3874.0;300.0;3200.0;6100.0;13300.0;90000.0;200000.0
4013.0;300.0;3300.0;5800.0;8400.0;29000.0;141000.0
4151.0;300.0;3400.0;6000.0;9000.0;29000.0;126000.0
4289.0;300.0;3500.0;6500.0;10900.0;36000.0;206000.0
4428.0;300.0;3700.0;7200.0;14300.0;96000.0;600000.0
4566.0;300.0;3800.0;7400.0;12900.0;41000.0;218000.0
4705.0;300.0;3800.0;7400.0;12200.0;39000.0;145000.0
4843.0;300.0;4100.0;8400.0;14704.999999998836;40000.0;181000.0
4981.0;300.0;4100.0;8600.0;16100.0;46000.0;220000.0
5120.0;300.0;4300.0;10300.0;27000.0;102000.0;620000.0
5258.0;300.0;4300.0;8500.0;16100.0;65000.0;215000.0
5396.0;300.0;4400.0;8800.0;16900.0;56000.0;221000.0
5535.0;300.0;4600.0;10400.0;23000.0;71000.0;198000.0
5673.0;300.0;4800.0;12400.0;36000.0;246000.0;396000.0
5812.0;300.0;4900.0;12400.0;28000.0;80000.0;202000.0
5950.0;300.0;5000.0;13700.0;28000.0;68000.0;194000.0
6088.0;300.0;5200.0;17000.0;33000.0;85000.0;244000.0
6227.0;300.0;5300.0;19000.0;40000.0;87000.0;187000.0
6365.0;300.0;5600.0;28000.0;57000.0;118000.0;287000.0
6503.0;300.0;5800.0;27000.0;54000.0;117000.0;249000.0
6642.0;300.0;5700.0;28000.0;51000.0;114000.0;336000.0
6780.0;300.0;5800.0;31000.0;63000.0;115000.0;314000.0
6918.0;300.0;6100.0;40000.0;72000.0;144000.0;660000.0
7057.0;300.0;5600.0;28000.0;57000.0;108000.0;225000.0
7195.0;300.0;6000.0;38000.0;73000.0;143000.0;304000.0
7334.0;300.0;5900.0;30000.0;60000.0;141000.0;326000.0
7472.0;300.0;6200.0;58000.0;108000.0;167000.0;420000.0
7610.0;300.0;6600.0;55000.0;89000.0;179000.0;740000.0
7749.0;300.0;7400.0;109000.0;146000.0;201000.0;487000.0
7887.0;200.0;6800.0;70000.0;126000.0;269000.0;650000.0
8025.0;300.0;7000.0;68000.0;119000.0;187000.0;537000.0
8164.0;300.0;7500.0;109000.0;144000.0;201000.0;660000.0
8302.0;300.0;8100.0;130000.0;186000.0;302000.0;700000.0
8441.0;200.0;7700.0;154000.0;226000.0;353000.0;720000.0
8579.0;300.0;6700.0;54000.0;100000.0;281000.0;477000.0
8717.0;300.0;7700.0;111000.0;184000.0;343000.0;760000.0
8856.0;300.0;9000.0;171000.0;230000.0;428000.0;680000.0
8994.0;300.0;7700.0;114000.0;176000.0;311000.0;599000.0
9132.0;200.0;8100.0;130000.0;218000.0;324000.0;630000.0
9271.0;300.0;9000.0;135000.0;209000.0;316000.0;790000.0
9409.0;300.0;13300.0;235000.0;322000.0;478000.0;1100000.0
9548.0;300.0;10900.0;225000.0;319000.0;456000.0;890000.0
9686.0;300.0;11100.0;184000.0;279000.0;396000.0;710000.0
9824.0;300.0;14000.0;347000.0;457000.0;630000.0;1000000.0
9963.0;200.0;16700.0;262000.0;345000.0;448000.0;770000.0
10101.0;200.0;33000.0;342000.0;419000.0;563000.0;910000.0
10239.0;200.0;12500.0;188000.0;386000.0;588000.0;1300000.0
10378.0;300.0;49000.0;620000.0;820000.0;1300000.0;2200000.0
10516.0;300.0;45000.0;386000.0;463000.0;600000.0;870000.0
10654.0;300.0;50000.0;354000.0;438000.0;579000.0;940000.0
10793.0;300.0;49000.0;428000.0;532000.0;750000.0;1000000.0
10931.0;200.0;334000.0;950000.0;1100000.0;1400000.0;2000000.0
11070.0;300.0;110000.0;468000.0;563000.0;730000.0;1300000.0
11208.0;300.0;194000.0;564000.0;650000.0;770000.0;1200000.0
11346.0;300.0;640000.0;1100000.0;1300000.0;1700000.0;2500000.0
11485.0;300.0;332000.0;840000.0;950000.0;1200000.0;2000000.0
11623.0;2200.0;2600000.0;4900000.0;5700000.0;7300000.0;1.3E7
11761.0;1100.0;1100000.0;2800000.0;3500000.0;4300000.0;5000000.0
11900.0;1100.0;2000000.0;4300000.0;4800000.0;5700000.0;9300000.0
12038.0;178000.0;3000000.0;6800000.0;7500000.0;8200000.0;8500000.0
