
===================================
Domain Marker;critical-jOPS;4162.0
Domain Marker;max-jOPS;12315.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
138.0;300.0;400.0;500.0;600.0;800.0;1300.0
277.0;300.0;500.0;700.0;800.0;1000.0;48000.0
415.0;300.0;600.0;900.0;1000.0;1200.0;107000.0
553.0;300.0;700.0;1100.0;1200.0;1400.0;129000.0
692.0;300.0;900.0;1300.0;1400.0;2400.0;147000.0
830.0;300.0;1000.0;1400.0;1500.0;5000.0;80000.0
969.0;300.0;1100.0;1500.0;1700.0;2400.0;147000.0
1107.0;300.0;1100.0;1700.0;1800.0;6025.0;167000.0
1245.0;300.0;1300.0;1800.0;2000.0;4700.0;151000.0
1384.0;300.0;1300.0;2000.0;2200.0;34000.0;103000.0
1522.0;300.0;1400.0;2100.0;2300.0;6500.0;138000.0
1660.0;300.0;1500.0;2200.0;2400.0;3800.0;106000.0
1799.0;300.0;1600.0;2400.0;2600.0;5700.0;127000.0
1937.0;300.0;1700.0;2500.0;2700.0;4600.0;91000.0
2076.0;300.0;1800.0;2700.0;3200.0;90000.0;155000.0
2214.0;300.0;1800.0;2800.0;3100.0;5500.0;112000.0
2352.0;300.0;1900.0;2900.0;3300.0;7000.0;102000.0
2491.0;300.0;2000.0;3100.0;3500.0;10200.0;129000.0
2629.0;300.0;2100.0;3300.0;3800.0;17900.0;970000.0
2767.0;300.0;2200.0;3400.0;3800.0;8000.0;107000.0
2906.0;300.0;2300.0;3600.0;4000.0;9800.0;135000.0
3044.0;300.0;2400.0;3700.0;4200.0;10798.000000001048;117000.0
3183.0;300.0;2500.0;4000.0;4600.0;18000.0;920000.0
3321.0;300.0;2600.0;4200.0;5800.0;229000.0;345000.0
3459.0;300.0;2600.0;4100.0;4700.0;15600.0;134000.0
3598.0;300.0;2700.0;4400.0;5100.0;17800.0;125000.0
3736.0;300.0;2800.0;4700.0;6000.0;58000.0;940000.0
3874.0;300.0;2900.0;4700.0;5500.0;22000.0;127000.0
4013.0;300.0;3000.0;5100.0;6800.0;269000.0;445000.0
4151.0;300.0;3100.0;5100.0;6100.0;27000.0;148000.0
4289.0;300.0;3200.0;5400.0;7500.0;58000.0;990000.0
4428.0;300.0;3200.0;5300.0;6400.0;23000.0;127000.0
4566.0;300.0;3400.0;5800.0;8200.0;123000.0;251000.0
4705.0;300.0;3500.0;5900.0;7500.0;31000.0;162000.0
4843.0;300.0;3600.0;6300.0;10600.0;33000.0;950000.0
4981.0;300.0;3700.0;6400.0;8100.0;28000.0;124000.0
5120.0;200.0;3900.0;7400.0;21000.0;411000.0;940000.0
5258.0;300.0;3900.0;6800.0;9600.0;38000.0;148000.0
5396.0;300.0;4100.0;7600.0;17700.0;441000.0;1200000.0
5535.0;300.0;4100.0;7100.0;9900.0;35000.0;128000.0
5673.0;300.0;4100.0;7600.0;15100.0;177000.0;940000.0
5812.0;300.0;4300.0;8000.0;22000.0;335000.0;576000.0
5950.0;300.0;4300.0;7900.0;12600.0;45000.0;160000.0
6088.0;300.0;4600.0;10000.0;34000.0;568000.0;1300000.0
6227.0;300.0;4700.0;10100.0;31000.0;517000.0;960000.0
6365.0;300.0;4900.0;10300.0;28000.0;84000.0;980000.0
6503.0;300.0;4800.0;9400.0;17400.0;50000.0;143000.0
6642.0;300.0;4900.0;10600.0;27000.0;154000.0;960000.0
6780.0;300.0;4900.0;10200.0;21000.0;62000.0;204000.0
6918.0;300.0;5100.0;11900.0;33000.0;129000.0;348000.0
7057.0;300.0;5200.0;13200.0;38000.0;151000.0;226000.0
7195.0;300.0;5400.0;15000.0;36000.0;105000.0;1000000.0
7334.0;200.0;5100.0;12400.0;29000.0;65000.0;198000.0
7472.0;300.0;5300.0;18100.0;42000.0;134000.0;990000.0
7610.0;300.0;5700.0;40000.0;122000.0;286000.0;400000.0
7749.0;300.0;5200.0;12900.0;30000.0;59000.0;220000.0
7887.0;300.0;5500.0;26000.0;54000.0;127000.0;1100000.0
8025.0;300.0;5500.0;25000.0;53000.0;487000.0;990000.0
8164.0;300.0;5700.0;28000.0;57000.0;180000.0;1200000.0
8302.0;300.0;5600.0;27000.0;51000.0;230000.0;425000.0
