Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;4162.0
Domain Marker;max-jOPS;12315.0
Domain Marker;Last Success for SLAs;7749.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
138;91.13303884526458
277;93.20579642633373
415;94.45406027033067
553;95.30270836298604
692;95.28806206971537
830;95.38376134366213
969;95.94117832909805
1107;96.23297351555878
1245;95.94092174568549
1384;95.57591842339524
1522;97.06898164735391
1660;96.9700705032394
1799;96.71493577093429
1937;97.17811088675718
2076;96.62866166719738
2214;97.51986535582793
2352;97.36181492942531
2491;97.24176779976374
2629;96.05959575593967
2767;97.67073711999991
2906;97.61687723363431
3044;97.81017229648485
3183;96.42254921621334
3321;96.90588684297825
3459;97.86173108778372
3598;97.78841354342852
3736;96.30228746281465
3874;97.79067225056623
4013;98.14155431654484
4151;97.57746927589068
4289;96.06426172573494
4428;98.0348684411984
4566;97.56698107947963
4705;97.8538208871061
4843;96.62522812951364
4981;97.57003957872666
5120;95.17089707403741
5258;97.91810923942148
5396;97.09237531992632
5535;98.23021799519468
5673;96.89984136180564
5812;97.30641942339497
5950;98.17807008674339
6088;97.10182630354822
6227;97.04449733287831
6365;96.74097828206085
6503;97.14616070839317
6642;93.37885324703572
6780;93.51407279321432
6918;91.37507832622279
7057;87.94773538034445
7195;87.07752144828544
7334;86.19042279917696
7472;83.88262292598937
7610;80.52292613266235
7749;81.73697381972906
7887;78.43072750625055
8025;76.98300429587592
8164;75.86027147534348
8302;76.006234118802
8441;72.71296707834016
8579;70.94085315801911
8717;70.78028186003246
8856;69.69007652087346
8994;68.94616055548448
9132;67.47582905154314
9271;66.39762872168974
9409;63.10172416168888
9548;63.58371473335972
9686;62.93565784688538
9824;62.03799581970768
9963;59.22837240967784
10101;59.7991991274782
10239;58.76163000922599
10378;57.955901363033774
10516;57.02906224418907
10654;56.02093745622455
10793;55.007717885027304
10931;50.2403761993773
11070;51.99023213919204
11208;51.428935036810984
11346;50.09145153785362
11485;47.66096948435855
11623;44.74717339048879
11761;39.106761017556806
11900;32.739988033127055
12038;16.101853808745787
12177;9.029587834479642
12315;5.283366637714228
12453;1.0865959052145686
12592;0.9978881054581795
12730;2.470223712801078
12868;1.052412499118773
