Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;889114.0
Domain Marker;max-jOPS;7531258.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group1.TxInjector.CompositeTxInjector;Group1.Backend.CompositeBackend
3516.0;1001.2875440000007;1001.3127539999996
292647.0;12600.122399999993;12900.752009999997
390322.0;;8258.721812000033
390323.0;8258.406128999952;
607494.0;8003.822176000103;8018.166540000006
694493.0;7833.932071999996;8717.056807999965
7844133.0;9072.922377999872;10424.190063999966
8024935.0;10031.206931000575;10031.457042000256
8070936.0;;1000.2261439999565
8070937.0;0.9316509999334812;
