
===================================
Domain Marker;critical-jOPS;4927.0
Domain Marker;max-jOPS;13007.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
138.0;300.0;400.0;500.0;600.0;800.0;3900.0
277.0;300.0;500.0;700.0;800.0;900.0;55000.0
415.0;300.0;600.0;800.0;900.0;1100.0;82000.0
553.0;300.0;700.0;1000.0;1100.0;1400.0;129000.0
692.0;300.0;800.0;1200.0;1300.0;11000.0;137000.0
830.0;300.0;900.0;1300.0;1400.0;1700.0;91000.0
969.0;300.0;1000.0;1500.0;1600.0;2100.0;135000.0
1107.0;300.0;1100.0;1600.0;1800.0;3800.0;152000.0
1245.0;300.0;1200.0;1800.0;1900.0;5527.999999999884;149000.0
1384.0;300.0;1300.0;1900.0;2100.0;31000.0;140000.0
1522.0;300.0;1400.0;2000.0;2200.0;3300.0;96000.0
1660.0;300.0;1500.0;2200.0;2400.0;3600.0;84000.0
1799.0;300.0;1500.0;2300.0;2500.0;3300.0;97000.0
1937.0;300.0;1600.0;2500.0;2700.0;4300.0;112000.0
2076.0;300.0;1700.0;2600.0;2900.0;47000.0;149000.0
2214.0;300.0;1800.0;2800.0;3000.0;4900.0;101000.0
2352.0;300.0;1900.0;2900.0;3200.0;5700.0;115000.0
2491.0;300.0;2000.0;3000.0;3300.0;6100.0;118000.0
2629.0;300.0;2100.0;3200.0;3600.0;15800.0;181000.0
2767.0;300.0;2100.0;3300.0;3600.0;7000.0;113000.0
2906.0;300.0;2200.0;3400.0;3800.0;8900.0;115000.0
3044.0;300.0;2300.0;3600.0;4000.0;10489.999999999418;124000.0
3183.0;300.0;2400.0;3700.0;4200.0;11200.0;130000.0
3321.0;300.0;2500.0;4000.0;4700.0;109000.0;269000.0
3459.0;200.0;2600.0;4100.0;4600.0;12800.0;135000.0
3598.0;300.0;2600.0;4200.0;4800.0;13792.00000000128;106000.0
3736.0;300.0;2700.0;4300.0;4800.0;13200.0;128000.0
3874.0;200.0;2900.0;5000.0;16700.0;234000.0;860000.0
4013.0;300.0;2900.0;4700.0;5500.0;16300.0;126000.0
4151.0;300.0;3000.0;4800.0;5600.0;21000.0;119000.0
